,item_rank,item_index,reward
0,86,869,-76
1,870,869,677
2,1989,869,-1119
3,22772,869,-20783
4,13495,869,9277
5,27830,869,-14335
6,31057,869,-3227
7,29822,869,1235
8,27272,869,9217
9,24374,869,2898
10,18935,869,5439
11,13,869,-2
12,11,683,-10
13,11,683,1
14,11,683,17
15,2,683,9
16,11,683,-9
17,125,683,-114
18,6,683,119
19,30,683,-24
20,38,683,-8
21,22,683,16
22,14,683,8
23,116,683,-102
24,178,683,-62
25,121,683,57
26,57,683,64
27,47,683,10
28,289,683,-222
29,5204,683,-4915
30,14131,683,-8927
31,4600,683,9531
32,1282,683,3318
33,7298,683,-6016
34,20401,683,-13844
35,20811,683,-410
36,26319,683,-5508
37,25140,173,21332
38,23762,173,16428
39,17405,173,6357
40,28839,173,-11434
41,25755,173,3084
42,10493,173,15262
43,22686,173,13792
44,26570,173,-3884
45,14106,173,12464
46,8623,173,5483
47,8139,173,484
48,473,173,7666
49,0,173,1000
50,30979,869,-2650
51,10970,869,20009
52,15762,869,-4792
53,8452,869,7310
54,21929,869,-13477
55,32918,869,7133
56,34251,869,-1333
57,149,879,-138
58,116,879,33
59,11,879,105
60,1,879,10
61,1,879,1
62,0,578,1000
63,17550,220,22462
64,26003,220,-8453
65,27467,220,8862
66,32160,220,-4693
67,25474,869,6686
68,659,220,-31
69,28,220,2963
70,30,220,-2
71,3,220,27
72,0,220,1000
73,28484,869,9760
74,25294,869,3190
75,19926,869,5368
76,15193,869,4733
77,17167,869,-1974
78,6903,869,10264
79,11514,869,-4611
80,2042,869,9472
81,2859,869,-817
82,62,869,2797
83,7,869,55
84,2,869,5
85,0,869,1000
86,24631,869,8796
87,33447,869,-5172
88,25553,869,7894
89,16545,869,-8556
90,4490,869,326
91,0,182,1000
92,1484,869,2135
93,839,869,645
94,5406,869,-4567
95,9425,869,-4019
96,19422,869,-14643
97,16084,869,3338
98,7540,869,8544
99,26293,869,-18753
100,23316,869,11934
101,21038,869,2278
102,28641,869,-7603
103,30077,869,-1436
104,27256,869,2821
105,26425,869,831
106,7946,869,18479
107,28074,869,-20128
108,31994,869,-3920
109,28343,869,3651
110,30153,869,10339
111,24740,869,10783
112,29713,869,14779
113,12435,869,17278
114,16379,869,-3944
115,17168,869,-789
116,7426,869,9742
117,13942,869,-6516
118,17700,869,-3758
119,4072,869,13628
120,3187,869,885
121,13850,869,-10663
122,19591,869,-5741
123,25271,523,15644
124,25726,523,-455
125,13315,523,12411
126,14106,523,-791
127,11527,982,2579
128,26017,982,-12609
129,25238,982,779
130,4572,982,20666
131,12261,982,-7689
132,7062,982,5199
133,67,982,-56
134,2283,982,-976
135,1548,982,735
136,358,982,1190
137,85,982,273
138,11,982,74
139,51,982,-40
140,18,982,33
141,3,982,15
142,1,982,2
143,1,982,1
144,601,982,-600
145,3433,982,-2832
146,2645,982,788
147,3919,982,-1274
148,11854,982,-7935
149,21690,982,-9836
150,28110,982,-6420
151,11463,982,16647
152,23518,982,-12055
153,7597,982,15921
154,2755,982,4842
155,327,982,2428
156,87,982,240
157,13,982,74
158,1,982,12
159,14,982,-13
160,11,982,3
161,29,982,-18
162,116,982,-87
163,117,982,-1
164,1746,982,-1629
165,1278,982,468
166,43,982,1235
167,116,885,-73
168,11,885,105
169,174,885,-163
170,630,885,-456
171,161,885,469
172,520,885,-359
173,282,885,238
174,284,885,-2
175,30,885,254
176,57,885,-27
177,36,885,21
178,6,885,30
179,2,885,4
180,5,885,-3
181,0,885,1000
182,0,869,1000
183,34377,439,13042
184,34284,439,11404
185,24917,439,9367
186,30647,439,-5730
187,0,869,1000
188,0,869,1000
189,0,869,1000
190,0,523,1000
191,0,869,1000
192,0,869,1000
193,0,869,1000
194,0,869,1000
195,0,869,1000
196,0,869,1000
197,0,869,1000
198,0,869,1000
199,0,869,1000
200,0,869,1000
201,0,869,1000
202,0,869,1000
203,0,775,1000
204,0,869,1000
205,0,400,1000
206,0,400,1000
207,0,869,1000
208,0,911,1000
209,0,869,1000
210,0,869,1000
211,0,869,1000
212,0,869,1000
213,0,683,1000
214,0,869,1000
215,0,869,1000
216,0,600,1000
217,0,869,1000
218,0,869,1000
219,0,869,1000
220,0,869,1000
221,0,523,1000
222,0,869,1000
223,0,869,1000
224,0,683,1000
225,0,683,1000
226,0,600,1000
227,0,792,1000
228,0,488,1000
229,0,574,1000
230,0,683,1000
231,0,488,1000
232,0,683,1000
233,0,683,1000
234,0,683,1000
235,0,636,1000
236,0,683,1000
237,0,400,1000
238,0,683,1000
239,0,636,1000
240,0,683,1000
241,0,683,1000
242,0,683,1000
243,0,683,1000
244,0,683,1000
245,0,683,1000
246,0,885,1000
247,0,792,1000
248,0,683,1000
249,0,683,1000
250,0,683,1000
251,0,683,1000
252,0,683,1000
253,0,683,1000
254,0,683,1000
255,0,683,1000
256,0,683,1000
257,0,683,1000
258,0,683,1000
259,0,683,1000
260,0,683,1000
261,0,683,1000
262,0,683,1000
263,0,683,1000
264,0,683,1000
265,0,683,1000
266,0,683,1000
267,0,683,1000
268,0,683,1000
269,0,683,1000
270,0,683,1000
271,0,683,1000
272,0,683,1000
273,0,683,1000
274,0,683,1000
275,0,683,1000
276,0,683,1000
277,0,683,1000
278,0,683,1000
279,0,683,1000
280,0,911,1000
281,0,683,1000
282,0,683,1000
283,0,683,1000
284,0,683,1000
285,0,911,1000
286,0,683,1000
287,0,683,1000
288,0,683,1000
289,0,683,1000
290,0,911,1000
291,0,683,1000
292,0,683,1000
293,0,683,1000
294,0,683,1000
295,0,220,1000
296,0,683,1000
297,0,220,1000
298,0,683,1000
299,0,220,1000
300,0,683,1000
301,0,220,1000
302,0,683,1000
303,0,683,1000
304,0,220,1000
305,0,911,1000
306,0,683,1000
307,0,683,1000
308,0,683,1000
309,0,911,1000
310,0,683,1000
311,0,220,1000
312,0,220,1000
313,0,911,1000
314,0,683,1000
315,0,683,1000
316,0,683,1000
317,0,683,1000
318,0,220,1000
319,0,683,1000
320,0,683,1000
321,0,683,1000
322,0,220,1000
323,0,683,1000
324,0,683,1000
325,0,683,1000
326,0,683,1000
327,0,683,1000
328,0,683,1000
329,0,683,1000
330,0,683,1000
331,0,220,1000
332,0,683,1000
333,0,683,1000
334,0,683,1000
335,0,683,1000
336,0,683,1000
337,0,683,1000
338,0,911,1000
339,0,683,1000
340,0,683,1000
341,0,683,1000
342,0,220,1000
343,0,683,1000
344,0,683,1000
345,0,683,1000
346,0,220,1000
347,0,683,1000
348,0,683,1000
349,0,683,1000
350,0,683,1000
351,0,683,1000
352,0,683,1000
353,0,683,1000
354,0,683,1000
355,0,683,1000
356,0,683,1000
357,0,220,1000
358,0,683,1000
359,0,683,1000
360,0,683,1000
361,0,683,1000
362,0,220,1000
363,0,220,1000
364,0,683,1000
365,0,683,1000
366,0,683,1000
367,0,683,1000
368,0,683,1000
369,0,683,1000
370,0,683,1000
371,0,683,1000
372,0,683,1000
373,0,683,1000
374,0,683,1000
375,0,683,1000
376,0,683,1000
377,0,683,1000
378,0,683,1000
379,0,683,1000
380,0,683,1000
381,0,683,1000
382,0,683,1000
383,0,683,1000
384,0,683,1000
385,0,683,1000
386,0,683,1000
387,0,683,1000
388,0,683,1000
389,0,683,1000
390,0,683,1000
391,0,683,1000
392,0,683,1000
393,0,683,1000
394,0,683,1000
395,0,683,1000
396,0,683,1000
397,0,683,1000
398,0,683,1000
399,0,683,1000
400,0,683,1000
401,0,683,1000
402,0,683,1000
403,0,683,1000
404,0,683,1000
405,0,683,1000
406,0,683,1000
407,0,683,1000
408,0,683,1000
409,0,683,1000
410,0,683,1000
411,0,683,1000
412,0,683,1000
413,0,683,1000
414,0,683,1000
415,0,683,1000
416,0,683,1000
417,0,683,1000
418,0,683,1000
419,0,683,1000
420,0,683,1000
421,0,683,1000
422,0,683,1000
423,0,683,1000
424,0,683,1000
425,0,683,1000
426,0,683,1000
427,0,683,1000
428,0,683,1000
429,0,683,1000
430,0,683,1000
431,0,683,1000
432,0,683,1000
433,0,683,1000
434,0,683,1000
435,0,683,1000
436,0,683,1000
437,0,683,1000
438,0,683,1000
439,0,683,1000
440,0,683,1000
441,0,683,1000
442,0,683,1000
443,0,683,1000
444,0,683,1000
445,0,683,1000
446,0,683,1000
447,0,683,1000
448,0,683,1000
449,0,683,1000
450,0,683,1000
451,0,683,1000
452,0,683,1000
453,0,683,1000
454,0,683,1000
455,0,683,1000
456,0,683,1000
457,0,683,1000
458,0,683,1000
459,0,683,1000
460,0,683,1000
461,0,683,1000
462,0,683,1000
463,0,683,1000
464,0,683,1000
465,0,683,1000
466,0,683,1000
467,0,683,1000
468,0,683,1000
469,0,683,1000
470,0,683,1000
471,0,683,1000
472,0,683,1000
473,0,683,1000
474,0,683,1000
475,0,683,1000
476,0,683,1000
477,0,683,1000
478,0,683,1000
479,0,683,1000
480,0,683,1000
481,0,683,1000
482,0,683,1000
483,0,683,1000
484,0,683,1000
485,0,683,1000
486,0,683,1000
487,0,683,1000
488,0,683,1000
489,0,683,1000
490,0,683,1000
491,0,683,1000
492,0,683,1000
493,0,683,1000
494,0,683,1000
495,0,683,1000
496,0,683,1000
497,0,220,1000
498,0,683,1000
499,0,683,1000
500,0,683,1000
501,0,683,1000
502,0,683,1000
503,0,683,1000
504,0,683,1000
505,0,683,1000
506,0,683,1000
507,0,683,1000
508,0,683,1000
509,0,683,1000
510,0,683,1000
511,0,683,1000
512,0,683,1000
513,0,683,1000
514,0,683,1000
515,0,683,1000
516,0,683,1000
517,0,683,1000
518,0,683,1000
519,0,220,1000
520,0,683,1000
521,0,683,1000
522,0,683,1000
523,0,683,1000
524,0,220,1000
525,0,683,1000
526,0,220,1000
527,0,683,1000
528,0,220,1000
529,0,220,1000
530,0,220,1000
531,0,220,1000
532,0,683,1000
533,0,220,1000
534,0,220,1000
535,0,220,1000
536,0,683,1000
537,0,220,1000
538,0,683,1000
539,0,220,1000
540,0,220,1000
541,0,220,1000
542,0,683,1000
543,0,220,1000
544,0,220,1000
545,0,220,1000
546,0,220,1000
547,0,220,1000
548,0,220,1000
549,0,220,1000
550,0,220,1000
551,0,220,1000
552,0,683,1000
553,0,220,1000
554,0,220,1000
555,0,220,1000
556,0,220,1000
557,0,220,1000
558,0,220,1000
559,0,683,1000
560,0,220,1000
561,0,220,1000
562,0,220,1000
563,0,220,1000
564,0,220,1000
565,0,220,1000
566,0,220,1000
567,0,220,1000
568,0,220,1000
569,0,220,1000
570,0,683,1000
571,0,220,1000
572,0,220,1000
573,0,220,1000
574,0,683,1000
575,0,220,1000
576,0,220,1000
577,0,220,1000
578,0,220,1000
579,0,220,1000
580,0,220,1000
581,0,220,1000
582,0,220,1000
583,0,220,1000
584,0,220,1000
585,0,220,1000
586,0,220,1000
587,0,220,1000
588,0,220,1000
589,0,220,1000
590,0,220,1000
591,0,220,1000
592,0,683,1000
593,0,220,1000
594,0,220,1000
595,0,220,1000
596,0,220,1000
597,0,220,1000
598,0,220,1000
599,0,683,1000
600,0,220,1000
601,0,220,1000
602,0,220,1000
603,0,220,1000
604,0,683,1000
605,0,220,1000
606,0,220,1000
607,0,220,1000
608,0,220,1000
609,0,220,1000
610,0,220,1000
611,0,220,1000
612,0,220,1000
613,0,220,1000
614,0,220,1000
615,0,220,1000
616,0,220,1000
617,0,220,1000
618,0,220,1000
619,0,220,1000
620,0,220,1000
621,0,220,1000
622,0,220,1000
623,0,220,1000
624,0,220,1000
625,0,220,1000
626,0,220,1000
627,0,220,1000
628,0,220,1000
629,0,220,1000
630,0,220,1000
631,0,220,1000
632,0,220,1000
633,0,220,1000
634,0,683,1000
635,0,220,1000
636,0,220,1000
637,0,220,1000
638,0,220,1000
639,0,220,1000
640,0,220,1000
641,0,220,1000
642,0,220,1000
643,0,220,1000
644,0,220,1000
645,0,220,1000
646,0,220,1000
647,0,220,1000
648,0,683,1000
649,0,220,1000
650,0,220,1000
651,0,220,1000
652,0,220,1000
653,0,220,1000
654,0,220,1000
655,0,220,1000
656,0,220,1000
657,0,220,1000
658,0,220,1000
659,0,220,1000
660,0,220,1000
661,0,220,1000
662,0,683,1000
663,0,220,1000
664,0,220,1000
665,0,220,1000
666,0,220,1000
667,0,220,1000
668,0,220,1000
669,0,220,1000
670,0,220,1000
671,0,220,1000
672,0,220,1000
673,0,220,1000
674,0,220,1000
675,0,683,1000
676,0,220,1000
677,0,220,1000
678,0,220,1000
679,0,220,1000
680,0,220,1000
681,0,220,1000
682,0,220,1000
683,0,220,1000
684,0,220,1000
685,0,220,1000
686,0,220,1000
687,0,220,1000
688,0,220,1000
689,0,220,1000
690,0,220,1000
691,0,220,1000
692,0,220,1000
693,0,220,1000
694,0,220,1000
695,0,220,1000
696,0,220,1000
697,0,220,1000
698,0,220,1000
699,0,220,1000
700,0,220,1000
701,0,220,1000
702,0,220,1000
703,0,220,1000
704,0,220,1000
705,0,220,1000
706,0,220,1000
707,0,220,1000
708,0,220,1000
709,0,683,1000
710,0,220,1000
711,0,220,1000
712,0,220,1000
713,0,220,1000
714,0,220,1000
715,0,220,1000
716,0,220,1000
717,0,220,1000
718,0,220,1000
719,0,220,1000
720,0,220,1000
721,0,220,1000
722,0,220,1000
723,0,220,1000
724,0,220,1000
725,0,220,1000
726,0,220,1000
727,0,220,1000
728,0,220,1000
729,0,220,1000
730,0,220,1000
731,0,220,1000
732,0,220,1000
733,0,220,1000
734,0,220,1000
735,0,220,1000
736,0,683,1000
737,0,220,1000
738,0,220,1000
739,0,220,1000
740,0,220,1000
741,0,220,1000
742,0,220,1000
743,0,683,1000
744,0,220,1000
745,0,220,1000
746,0,220,1000
747,0,220,1000
748,0,220,1000
749,0,220,1000
750,0,683,1000
751,0,220,1000
752,0,220,1000
753,0,683,1000
754,0,683,1000
755,0,220,1000
756,0,220,1000
757,0,220,1000
758,0,683,1000
759,0,220,1000
760,0,220,1000
761,0,220,1000
762,0,220,1000
763,0,220,1000
764,0,220,1000
765,0,683,1000
766,0,220,1000
767,0,220,1000
768,0,220,1000
769,0,683,1000
770,0,220,1000
771,0,220,1000
772,0,220,1000
773,0,220,1000
774,0,220,1000
775,0,683,1000
776,0,220,1000
777,0,220,1000
778,0,220,1000
779,0,220,1000
780,0,220,1000
781,0,220,1000
782,0,220,1000
783,0,683,1000
784,0,220,1000
785,0,220,1000
786,0,683,1000
787,0,220,1000
788,0,220,1000
789,0,220,1000
790,0,220,1000
791,0,220,1000
792,0,220,1000
793,0,220,1000
794,0,220,1000
795,0,220,1000
796,0,220,1000
797,0,220,1000
798,0,220,1000
799,0,220,1000
800,0,220,1000
801,0,220,1000
802,0,683,1000
803,0,220,1000
804,0,220,1000
805,0,220,1000
806,0,220,1000
807,0,683,1000
808,0,220,1000
809,0,220,1000
810,0,220,1000
811,0,220,1000
812,0,683,1000
813,0,220,1000
814,0,220,1000
815,0,220,1000
816,0,220,1000
817,0,220,1000
818,0,220,1000
819,0,220,1000
820,0,220,1000
821,0,220,1000
822,0,220,1000
823,0,220,1000
824,0,220,1000
825,0,220,1000
826,0,220,1000
827,0,220,1000
828,0,220,1000
829,0,220,1000
830,0,220,1000
831,0,220,1000
832,0,220,1000
833,0,220,1000
834,0,220,1000
835,0,220,1000
836,0,220,1000
837,0,220,1000
838,0,220,1000
839,0,220,1000
840,0,220,1000
841,0,220,1000
842,0,683,1000
843,0,220,1000
844,0,220,1000
845,0,683,1000
846,0,220,1000
847,0,220,1000
848,0,220,1000
849,0,683,1000
850,0,220,1000
851,0,220,1000
852,0,220,1000
853,0,220,1000
854,0,220,1000
855,0,220,1000
856,0,220,1000
857,0,220,1000
858,0,220,1000
859,0,683,1000
860,0,683,1000
861,0,220,1000
862,0,220,1000
863,0,220,1000
864,0,683,1000
865,0,220,1000
866,0,220,1000
867,0,220,1000
868,0,220,1000
869,0,683,1000
870,0,683,1000
871,0,220,1000
872,0,220,1000
873,0,220,1000
874,0,220,1000
875,0,683,1000
876,0,220,1000
877,0,220,1000
878,0,220,1000
879,0,220,1000
880,0,220,1000
881,0,220,1000
882,0,220,1000
883,0,220,1000
884,0,220,1000
885,0,220,1000
886,0,683,1000
887,0,683,1000
888,0,683,1000
889,0,683,1000
890,0,220,1000
891,0,683,1000
892,0,683,1000
893,0,220,1000
894,0,683,1000
895,0,683,1000
896,0,683,1000
897,0,683,1000
898,0,220,1000
899,0,683,1000
900,0,683,1000
901,0,683,1000
902,0,220,1000
903,0,683,1000
904,0,683,1000
905,0,683,1000
906,0,683,1000
907,0,683,1000
908,0,683,1000
909,0,683,1000
910,0,683,1000
911,0,683,1000
912,0,683,1000
913,0,683,1000
914,0,683,1000
915,0,683,1000
916,0,683,1000
917,0,683,1000
918,0,683,1000
919,0,683,1000
920,0,683,1000
921,0,683,1000
922,0,683,1000
923,0,683,1000
924,0,683,1000
925,0,683,1000
926,0,220,1000
927,0,683,1000
928,0,683,1000
929,0,683,1000
930,0,683,1000
931,0,683,1000
932,0,683,1000
933,0,683,1000
934,0,683,1000
935,0,683,1000
936,0,683,1000
937,0,220,1000
938,0,683,1000
939,0,683,1000
940,0,683,1000
941,0,683,1000
942,0,683,1000
943,0,683,1000
944,0,683,1000
945,0,683,1000
946,0,220,1000
947,0,220,1000
948,0,683,1000
949,0,683,1000
950,0,683,1000
951,0,683,1000
952,0,683,1000
953,0,683,1000
954,0,220,1000
955,0,683,1000
956,0,220,1000
957,0,220,1000
958,0,683,1000
959,0,220,1000
960,0,683,1000
961,0,683,1000
962,0,683,1000
963,0,220,1000
964,0,683,1000
965,0,683,1000
966,0,683,1000
